Selection,Source,RetrievalDate,Source Url,Title,Artist,Url,Culture,Date,Technique,Dimensions,Acc Num,View,Credit Line,Collections,Classification,Description,Provenance
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33656/selfportrait?ctx=e7752c07-8daa-4c8a-9e82-f8512658b9a6&idx=0,Self-Portrait,Sofonisba Anguissola,https://collections.mfa.org/objects/33656/selfportrait,Italian,about 1556,Varnished watercolor on parchment,8.3 x 6.4 cm (3 1/4 x 2 1/2 in.),60.155,NOT ON VIEW,Emma F. Munroe Fund,Europe,Miniatures,"Praised by her contemporaries as the foremost woman painter of her day, Anguissola executed more self-portraits than any other artist in the period between Dürer and Rembrandt. This miniature displays the artist's meticulous technique and a Renaissance taste for puzzles: the interwoven letters at the center of the medallion form a monogram or phrase that has been satisfactorily explained. Around the rim, the medallion is inscribed in Latin: ""The maiden Sofonisba Anguissola, depicted by her own hand, from a mirror, at Cremona.""","By 1801, Richard Gough (b. 1735 - d. 1809), London [see note 1]. By 1862, Henry Danby Seymour (b. 1820 - d. 1877), Ashridge [see note 2], by descent to his niece, Miss Jane Margaret Seymour (b. 1873 - d. 1943), Knoyle, Wiltshire, May 9, 1928, Seymour sale, Sotheby's, London, lot 61. November 9, 1959, anonymous sale (""the property of a lady""), Sotheby's, London, lot 28, to F. Kleinberger and Co., New York, 1960, sold by Kleinberger to the MFA for $3,000. (Accession Date: March 10, 1960);NOTES;[1] For the history of this miniature, see ""Catalogue of Fine Portrait Miniatures, Scientific Instruments, Watches, and Objects of Vertu,"" Sotheby's, London, November 9, 1959, lot 28. The work was recorded in the Gough collection in ""Gentlemen's Quarterly,"" October 1801, p. 897.;[2] Henry Danby Seymour lent the work to the South Kensington Museum as early as 1862, and, according to a letter from Harry G. Sperling of Kleinberger to the MFA (November 12, 1959), from 1912 to 1928, J. M. Seymour lent it to the Victoria and Albert Museum, London. Information about the dates of these loans (but not about the lenders) is confirmed in the 1959 auction catalogue (as above, n. 1)."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32834/angels-with-the-instruments-of-the-passion?ctx=aa1110c5-085a-41e4-a90d-6e3306700bde&idx=0,Angels with the Instruments of the Passion,,https://collections.mfa.org/objects/32834/angels-with-the-instruments-of-the-passion,,,Oil on panel,54.3 x 16.5 cm (21 3/8 x 6 1/2 in.),42.282a,NOT ON VIEW,Gift of Miss Mary C. Wheelwright,Europe,Paintings,,"Anonymous dealer;sold by dealer to Mrs. Andrew Wheelwright (Susan Perkins Cabot), Boston;1942, by descent to her daughter, Mary C. Wheelwright (b. 1878 - d. 1956), Northeast Harbor, ME;1942 gift of Miss Mary C. Wheelwright to the MFA. (Accession Date: May 14, 1952)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32835/angels-with-the-instruments-of-the-passion?ctx=b6d508a8-9d4d-4046-93f5-fb9a859d7191&idx=0,Angels with the Instruments of the Passion,,https://collections.mfa.org/objects/32835/angels-with-the-instruments-of-the-passion,,,Oil on panel,54.3 x 16.5 cm (21 3/8 x 6 1/2 in.),42.282b,NOT ON VIEW,Gift of Miss Mary C. Wheelwright,Europe,Paintings,,"Anonymous dealer;sold by dealer to Mrs. Andrew Wheelwright (Susan Perkins Cabot), Boston;1942, by descent to her daughter, Mary C. Wheelwright (b. 1878 - d. 1956), Northeast Harbor, ME;1942, gift of Miss Mary C. Wheelwright to the MFA. (Accession Date: May 14, 1952)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33891/apparition-of-the-virgin-and-child-to-a-bedridden-woman-and?ctx=797759c8-1c40-412f-a622-9408640bc1b5&idx=0,Apparition of the Virgin and Child to a Bedridden Woman and Her Family (ex veto),,https://collections.mfa.org/objects/33891/apparition-of-the-virgin-and-child-to-a-bedridden-woman-and,,,Tempera on panel,29.2 x 40.6 cm (11 1/2 x 16 in.),64.2085,NOT ON VIEW,Bequest of Mrs. Edward Jackson Holmes,Europe,Paintings,,"By 1964, Mrs. Edward Jackson Holmes (Mary Stacy Beaman) (b. 1875), Boston;1964, bequest of Mrs. Edward Jackson Holmes. (Accession Date: December 9, 1964)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/34664/aristocrats-and-royalty-at-an-event-in-the-country?ctx=b8044c28-5fbc-4f40-87c6-606914eb7360&idx=0,Aristocrats and Royalty at an Event in the Country,,https://collections.mfa.org/objects/34664/aristocrats-and-royalty-at-an-event-in-the-country,European,about 1700,Watercolor on ivory,13 x 22.4 cm (5 1/8 x 8 13/16 in.),1984.948,NOT ON VIEW,"Gift of Nancy G. MacFadyen, in memory of Jessie Mott Peck McFadyen",Europe,Miniatures,,"Jessie Mott Peck McFadyen [Cambridge, MA?], by 1982, to her daughter-in-law Nancy G. MacFadyen, Cambridge, MA [see note 1]. 1984, gift of Nancy G. MacFadyen, in memory of Jessie Mott Peck McFadyen. (Accession Date: January 16, 1985);NOTES;[1] according to notes from December 21, 1984 in curatorial file, donor says her mother-in-law (from whom she acquired the picture) may have purchased it in Europe earlier in the century."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32731/bacchante?ctx=36413a34-82d2-4055-ae6e-860ce813c8d2&idx=0,Bacchante,"Unidentified artist, French, 19th century;Formerly attributed to: Jean-Baptiste Carpeaux",https://collections.mfa.org/objects/32731/bacchante,,,Oil on canvas,62.9 x 51.5 cm (24 3/4 x 20 1/4 in.),40.18,NOT ON VIEW,Gift of Armand Lowengard,Europe,Paintings,,"By 1940, Armand Lowengard, Paris (worked for Duveen Bros. (dealer) but this picture was in his personal collection);1940, gift of Lowengard. (Accession Date: January 11, 1940)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32916/cherub-fragment?ctx=17702a4e-3b3a-4db5-894b-7c184f405545&idx=0,Cherub (fragment),,https://collections.mfa.org/objects/32916/cherub-fragment,,,Fresco transferred to canvas,61.6 x 54 cm (24 1/4 x 21 1/4 in.),44.833,NOT ON VIEW,Gift of Edward Jackson Holmes,Europe,Paintings,,"By 1930, the Talleyrand family, Rome, 1930, sold by the Talleyrand family to Edward Jackson Holmes (b. 1873 - d. 1950), Boston, 1944, gift of Holmes to the MFA [see note 1]. (Accession Date: December 14, 1944);Notes;[1] The piece was accessioned as a work by Giovanni Battista Tiepolo."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33560/christ-as-the-man-of-sorrows?ctx=8cb59cb0-a747-41f3-9a84-cca5d5f61a84&idx=0,Christ as the Man of Sorrows,,https://collections.mfa.org/objects/33560/christ-as-the-man-of-sorrows,,about 1470,Oil on panel,69.2 x 39.4 cm (27 1/4 x 15 1/2 in.),56.262,ON VIEW,Gift in memory of W. G. Russell Allen by his Friends,Europe,Paintings,"This painting embodies the entirety of Jesus's suffering in a single, solemn image. He holds his head in his hands, the universal gesture of sorrow, and sits among the instruments used to torture and kill him. Such emotionally charged imagery was particularly common in Germany during the late 15th and early 16th centuries. In an act of devotion, private contemplation of these subjects allowed viewers to identify with Jesus's anguish.","1946, in Amsterdam [see note 1]. By 1953, Alfred Weinberger (dealer), Paris [see note 2], 1956, sold by Weinberger, through Kleinberger and Co., New York, to the MFA. (Accession Date: April 12, 1956);NOTES;[1] This picture was examined by Max Friedländer in Amsterdam on May 17, 1946, according to photo-documentation from the Kleinberger files at the Metropolitan Museum of Art. In whose possession it was at this time is not known. On the reverse of the panel is an export stamp from Amsterdam, as well as similar stamps from Munich and Paris. [2] This is according to a statement of January 14, 1955 by Hanns Swarzenski of the MFA that he first saw the panel in Weinberger's possession in Paris in October 1953. Swarzenski notes that Weinberger was a dealer in Paris who was a relative of Harry G. Sperling of Kleinberger and Co., New York."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32888/christ-the-almighty-with-the-virgin-saints-john-the-baptist?ctx=624c3cf4-f4a9-4d78-a28a-22453ead3f9f&idx=0,"Christ the Almighty with the Virgin, Saints John the Baptist, Peter and Paul, and the Archangels Michael and Gabriel (Deesis)",,https://collections.mfa.org/objects/32888/christ-the-almighty-with-the-virgin-saints-john-the-baptist,,,Tempera on panel,19.1 x 45.7 cm (7 1/2 x 18 in.),43.1351,NOT ON VIEW,Gift of Mrs. Samuel W. Ellsworth,Europe,Paintings,,"About 1917, Charles R. Crane (b. 1858 - d. 1939), Chicago [see note 1], about 1917, given by Crane to Dr. and Mrs. Samuel W. Ellsworth, Quincy, MA, 1943, gift of Mrs. Ellsworth to the MFA. (Accession Date: December 9, 1943);NOTES;[1] Charles Richard Crane served on President Wilson's Special Diplomatic Commission to Russia in 1917, and it is probably at this time that he sent the icon to Dr. and Mrs. Ellsworth (see letter from Mrs. Ellsworth to the MFA, April 14, 1944, in MFA curatorial file)."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/32903/coronation-of-the-virgin-with-the-holy-trinity?ctx=20e8ce9e-5878-4b16-a041-af2c4f846bf7&idx=0,Coronation of the Virgin with the Holy Trinity,,https://collections.mfa.org/objects/32903/coronation-of-the-virgin-with-the-holy-trinity,,,Tempera and oil on panel,76.5 x 46.4 cm (30 1/8 x 18 1/4 in.),44.77,NOT ON VIEW,Painting Department Special Fund and Samuel Putnam Avery Fund,Europe,Paintings,,"Anonymous collection, Italy. Frank Gair Macomber (b. 1849 - d. 1941), Boston, sold by Macomber to Peck, Brookline, MA, sold by Peck (?) to Eugene Bernat, Milton, MA [see note 1], February 21, 1944, Bernat sale, Hale's Auction Rooms, Boston, lot 165, as "" School of Avignon,"" and bought by MFA for $181.50. (Accession Date: March 9, 1944);NOTES;[1] Eugene Bernat was an expert restorer and consultant in the carte of tapestries and was associated with the MFA from 1905-1940, his three sons, Eugene, Paul, and George A. were frequent donors to the MFA. It is not clear whether Eugene Bernat is father or son."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33483/council-of-bishops-with-chosen-saints-around-deesis?ctx=3a0d8e8b-8a8e-4221-aa20-c82b62dbe4fd&idx=0,"Council of Bishops with Chosen Saints, around Deesis",,https://collections.mfa.org/objects/33483/council-of-bishops-with-chosen-saints-around-deesis,,,Tempera and oil on panel,16.5 x 14.0 cm (6 1/2 x 5 1/2 in.),52.395,NOT ON VIEW,Gift of Vladimir G. Simkhovitch,Europe,Paintings,,"1911, in Italy [see note 1]. Otto H. Kahn (b. 1867 - d. 1934), New York, probably acquired from Kahn by Vladimir G. Simkhovitch (b. 1874 - d. 1959), New York, 1952, gift of Simkhovitch to the MFA. (Accession Date: April 10, 1952);NOTES;[1] An Italian customs stamp on the reverse is dated July 12, 1911."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/47062/cover-for-the-torah?ctx=4b6e609d-7b85-4be4-8195-2e0ecdd25f62&idx=0,Cover for the Torah,,https://collections.mfa.org/objects/47062/cover-for-the-torah,probably European,18th century,Velvet,,41.179,NOT ON VIEW,Gift of Mrs. Albert Blum,Europe,Textiles,,
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33412/dormition-of-the-virgin?ctx=f06e7492-7ada-4563-ad35-1802d5a5f4fd&idx=0,Dormition of the Virgin,,https://collections.mfa.org/objects/33412/dormition-of-the-virgin,,about 1340–45,Tempera on panel,100 x 71.1 cm (39 3/8 x 28 in.),50.2716,ON VIEW,"William Francis Warden Fund, Seth K. Sweetser Fund, The Henry C. and Martha B. Angell Collection, Juliana Cheney Edwards Collection, Gift of Martin Brimmer, and Gift of Reverend and Mrs. Frederick Frothingham, by exchange",Europe,Paintings,"Originally part of an altarpiece, this is one of the greatest panel paintings produced in Bohemia during the reign of King Charles IV. According to tradition, the Virgin Mary was not dead but only sleeping during the three days before she was taken up to heaven, an event witnessed by Christ's followers, the twelve Apostles. Here, Christ blesses the recumbent Virgin while holding her diminutive soul. The three figures along the bottom edge probably represent the patrons who commissioned the painting.","By 1420, possibly the nobles of Weitmuehl, Kosátsky Castle, near Jungbunzlau (now Mladá Boleslav, Czech Republic) [see note 1], by the late 15th century, the counts of Kolowrat, Kosátsky Castle [see note 2], until 1950, by descent within the family to Henry Kolowrat, New York, 1950, sold by Henry Kolowrat to Henry Pearlman (b. 1895 - d. 1974), New York [see note 3], 1950, probably sold by Mr. Pearlman to E. and A. Silberman Galleries, New York [see note 4], 1950, sold by Silberman to the MFA for $36,000. (Accession Date: June 8, 1950);NOTES;[1] This was suggested by Kuchynka in ""Památky Archaeologické,"" 33 (1923), for the reference, see Antonin Matejcek, ""Ceska Malba Gotika Deskova Malirstvi"" (Prague, 1940), p. 57, no. 17 (English translation in MFA curatorial file).;[2] If the work had been owned by the nobles of Weitmuehl, as suggested above, it would have been obtained through marriage by the counts of Kolowrat, who acquired Kosátsky Castle in the late 15th century. In a letter from Henry Kolowrat to Henry Pearlman (January 6, 1950), the painting is said to have been in the possession of his family for about 500 years, though he does not specify how it was acquired. From 1934 to 1939, it was on loan from Kolowrat to the National Museum, Prague (inv. no. OP2110).;[3] In the letter from Kolowrat to Pearlman (see above, n. 2) the author writes ""I am glad to have sold you the Bohemian panel painting, 'Death of the Virgin.;[4] According to correspondence in the MFA curatorial file, the painting was with Silberman by early May, 1950. In an interoffice memorandum from W. G. Constable to George Edgell of the MFA (May 31, 1950), Silberman is said to have acquired the painting fully on May 26."
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33349/decorative-panel?ctx=db553373-db1a-4a9d-b100-f8b0e3521288&idx=0,Decorative Panel,,https://collections.mfa.org/objects/33349/decorative-panel,,,Oil on canvas,,48.1137,NOT ON VIEW,Gift of Mrs. Guy Lowell in memory of Guy Lowell,Europe,Paintings,,"1948, gift of Mrs. Guy Lowell. (Accession date: September 9, 1948)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33350/decorative-panel?ctx=758a99b6-2fb1-47f8-9ab0-f63ed16198ae&idx=0,Decorative Panel,,https://collections.mfa.org/objects/33350/decorative-panel,,,Oil on canvas,,48.1138,NOT ON VIEW,Gift of Mrs. Guy Lowell in memory of Guy Lowell,Europe,Paintings,,"1948, gift of Mrs. Guy Lowell. (Accession date: September 9, 1948)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33351/decorative-panel?ctx=b41d376c-9a78-4234-895b-083f98998349&idx=0,Decorative Panel,,https://collections.mfa.org/objects/33351/decorative-panel,,,Oil on canvas,,48.1139,NOT ON VIEW,Gift of Mrs. Guy Lowell in memory of Guy Lowell,Europe,Paintings,,"1948, gift of Mrs. Guy Lowell. (Accession date: September 9, 1948)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/33352/decorative-panel?ctx=c92721e7-9036-4fea-a581-889d4c382c6d&idx=0,Decorative Panel,,https://collections.mfa.org/objects/33352/decorative-panel,,,Oil on canvas,,48.1140,NOT ON VIEW,Gift of Mrs. Guy Lowell in memory of Guy Lowell,Europe,Paintings,,"1948, gift of Mrs. Guy Lowell. (Accession date: September 9, 1948)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/34483/duke-danglume?ctx=b077b9d3-9a43-4e42-b0cb-2f3315587799&idx=0,Duke D'Anglume,,https://collections.mfa.org/objects/34483/duke-danglume,,,Oil on canvas,44.77 x 62.86 cm (17 5/8 x 24 3/4 in.),1981.788,NOT ON VIEW,Gift of the John Gardner Greene Trust,Europe,Paintings,,"1981, gift of the John Gardner Greene Trust. (Accession Date: October 27, 1993)"
NEPIP,MFA Boston Website,6April2020,https://collections.mfa.org/objects/46796/torah-binder?ctx=fbeb5a16-e3ae-42f0-9b28-52b8f8a18d05&idx=0,Torah Binder,,https://collections.mfa.org/objects/46796/torah-binder,German (Ashkenazi),1745,"Linen plain weave, embroidered with silk",17 x 384 cm (6 11/16 x 151 3/16 in.),38.1148,NOT ON VIEW,Gift of Philip Lehman in memory of his wife Carrie L. Lehman,Europe,Textiles,,
